<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.19	17:00:00	90326	90377	90228	90305	10226	37066	1
2018.11.19	17:05:00	90300	90326	90136	90223	11015	40309	1
2018.11.19	17:10:00	90228	90264	90146	90218	7002	25697	1
2018.11.19	17:15:00	90218	90403	90192	90315	11063	38858	1
2018.11.19	17:20:00	90321	90408	90285	90393	7871	26902	1
2018.11.19	17:25:00	90393	90464	90357	90418	8631	31322	1
2018.11.19	17:30:00	90418	90428	90223	90367	8048	31863	1
2018.11.19	17:35:00	90367	90367	90244	90300	6092	24557	1
2018.11.19	17:40:00	90305	90434	90274	90321	6518	22765	1
2018.11.19	17:45:00	90321	90464	90305	90372	5920	18956	1
2018.11.19	17:50:00	90367	90423	90331	90372	3935	13330	1
2018.11.19	17:55:00	90372	90613	90372	90593	6263	22341	1
2018.11.19	18:00:00	90588	90665	90547	90660	5407	15031	1
2018.11.19	18:05:00	90649	90778	90613	90629	4126	13771	1
2018.11.21	09:00:00	89391	89396	89226	89344	6434	25357	1
2018.11.21	09:05:00	89344	89380	89124	89211	12795	36435	1
2018.11.21	09:10:00	89216	89355	89026	89057	15232	40756	1
2018.11.21	09:15:00	89057	89216	89021	89165	10107	26229	1
2018.11.21	09:20:00	89165	89231	89088	89170	8982	24274	1
2018.11.21	09:25:00	89170	89386	89144	89350	12676	34019	1
2018.11.21	09:30:00	89355	89416	89314	89344	11456	30909	1
2018.11.21	09:35:00	89344	89391	89226	89226	9789	26069	1
2018.11.21	09:40:00	89226	89273	89170	89180	8028	20885	1
2018.11.21	09:45:00	89185	89283	89144	89242	10324	25766	1
2018.11.21	09:50:00	89242	89365	89206	89273	12126	31172	1
2018.11.21	09:55:00	89267	89293	89226	89267	4043	10294	1
2018.11.21	10:00:00	89267	89293	89118	89247	15674	41653	1
2018.11.21	10:05:00	89252	89293	89144	89190	9968	25050	1
2018.11.21	10:10:00	89190	89242	89098	89134	12335	31542	1
2018.11.21	10:15:00	89129	89206	88949	89046	23024	62340	1
2018.11.21	10:20:00	89046	89288	89016	89129	16766	43386	1
2018.11.21	10:25:00	89124	89344	89082	89308	17997	48967	1
2018.11.21	10:30:00	89314	89504	89216	89360	24399	67170	1
2018.11.21	10:35:00	89355	89586	89288	89571	17749	47736	1
2018.11.21	10:40:00	89571	89725	89488	89689	22926	65131	1
2018.11.21	10:45:00	89689	89766	89627	89719	14218	39927	1
2018.11.21	10:50:00	89719	89858	89689	89802	15562	44687	1
2018.11.21	10:55:00	89802	89807	89735	89755	7694	21216	1
2018.11.21	11:00:00	89755	89791	89622	89668	13729	38261	1
2018.11.21	11:05:00	89668	89668	89483	89509	14577	43740	1
2018.11.21	11:10:00	89514	89606	89442	89488	11412	32214	1
2018.11.21	11:15:00	89483	89488	89165	89252	19759	55202	1
2018.11.21	11:20:00	89252	89432	89226	89427	11518	33950	1
2018.11.21	11:25:00	89427	89519	89339	89488	11725	31910	1
2018.11.21	11:30:00	89483	89550	89293	89308	16351	43888	1
2018.11.21	11:35:00	89303	89416	89257	89350	11467	29369	1
2018.11.21	11:40:00	89350	89586	89293	89571	12279	33711	1
2018.11.21	11:45:00	89571	89601	89344	89422	15798	41465	1
2018.11.21	11:50:00	89422	89581	89422	89529	10112	30105	1
2018.11.21	11:55:00	89529	89658	89483	89576	12550	34355	1
2018.11.21	12:00:00	89576	89699	89499	89632	10764	33158	1
